id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
137,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0.0,ORANG,2016
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,0.0,ORANG,2016
139,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,0.0,ORANG,2016
140,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,0.0,ORANG,2016
141,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,0.0,ORANG,2016
142,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,0.0,ORANG,2016
143,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,1690.0,ORANG,2016
144,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,43067.0,ORANG,2016
145,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,0.0,ORANG,2016
146,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,0.0,ORANG,2016
147,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,0.0,ORANG,2016
148,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,0.0,ORANG,2016
149,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,123.0,ORANG,2016
150,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,56722.0,ORANG,2016
151,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0.0,ORANG,2016
152,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0.0,ORANG,2016
153,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,0.0,ORANG,2016
154,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,5926.0,ORANG,2016
155,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,0.0,ORANG,2016
156,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,0.0,ORANG,2016
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,0.0,ORANG,2016
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,0.0,ORANG,2016
159,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0.0,ORANG,2016
160,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,0.0,ORANG,2016
161,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,0.0,ORANG,2017
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,0.0,ORANG,2017
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,0.0,ORANG,2017
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,0.0,ORANG,2017
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,3200.0,ORANG,2017
